Accident_Id,crash_date,traffic_control_device,weather_condition,lighting_condition,trafficway_type,alignment,damage,prim_contributory_cause,num_units,Urban_or_Rural_Area,most_severe_injury,Accident_Severity,injuries_total,injuries_fatal,injuries_Serious,injuries_Slight,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
200701BS67644,09-07-2023 00:00,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,1,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,1,20,5,9
200701BS67747,11-02-2016 00:00,TRAFFIC SIGNAL,RAIN,DUSK,OTHER,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER OVERTAKING/PASSING,2,Urban,NO INDICATION OF INJURY,Fatal,0,0,0,0,2,16,4,11
200701BS67773,07-02-2020 00:00,UNKNOWN,CLEAR,DAYLIGHT,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,17,5,7
200701BS67853,08-09-2023 00:00,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER OVERTAKING/PASSING,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,7,4,8
200701BS67859,02-09-2020 00:00,TRAFFIC SIGNAL,SNOW,DAYLIGHT,RAMP,STRAIGHT AND LEVEL,"OVER $1,500",FOLLOWING TOO CLOSELY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,14,1,2
200701BS67960,08-01-2023 00:00,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,4,Urban,INCAPACITATING INJURY,Slight,1,0,1,0,1,23,3,8
200701BS67969,08-01-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TRAFFIC ROUTE,STRAIGHT AND LEVEL,$500 OR LESS,DRIVING ON WRONG SIDE/WRONG WAY,2,Urban,"REPORTED, NOT EVIDENT",Serious,1,0,0,0,1,15,3,8
200701BS68160,09-05-2023 00:00,TRAFFIC SIGNAL,CLEAR,DUSK,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,INCAPACITATING INJURY,Serious,3,0,1,2,2,19,3,9
200701BS68210,09-09-2022 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER LANE USAGE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,16,6,9
200701BS68237,08/15/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ONE-WAY,STRAIGHT AND LEVEL,$500 OR LESS,IMPROPER OVERTAKING/PASSING,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,18,3,8
200701BS68301,08/22/2023,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Fatal,0,0,0,0,2,15,3,8
200701BS68302,08-02-2023 00:00,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Fatal,0,0,0,0,3,20,4,8
200701BS70001,09-06-2023 00:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,"REPORTED, NOT EVIDENT",Slight,1,0,0,0,1,14,4,9
200701BS70002,07-01-2022 00:00,TRAFFIC SIGNAL,CLEAR,DARKNESS,ONE-WAY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER LANE USAGE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,1,6,7
200701BS70003,09-06-2023 00:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,14,4,9
200701BS70004,08/17/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,13,5,8
200701BS70005,03/20/2022,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,15,1,3
200701BS70006,09/25/2023,STOP SIGN/FLASHER,CLOUDY/OVERCAST,UNKNOWN,OTHER,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,12,2,9
200701BS70007,09/25/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,16,2,9
200701BS70008,08/18/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,15,6,8
200701BS70009,09-06-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,"OVER $1,500",NOT APPLICABLE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,8,4,9
200701BS70010,08/16/2023,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,23,4,8
200701BS70011,08/18/2023,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"$501 - $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,17,6,8
200701BS70012,08/24/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,18,5,8
200701BS70013,08/24/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,Urban,INCAPACITATING INJURY,Slight,2,0,2,0,1,18,5,8
200701BS70014,09-12-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,4,6,3,9
200701BS70015,09/27/2023,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,13,4,9
200701BS70016,08-06-2023 00:00,TRAFFIC SIGNAL,RAIN,DARKNESS,FOUR WAY,STRAIGHT AND LEVEL,"$501 - $1,500",UNABLE TO DETERMINE,2,Urban,"REPORTED, NOT EVIDENT",Slight,1,0,0,0,2,2,1,8
200701BS70017,09/28/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,12,5,9
200701BS70019,09-09-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,$500 OR LESS,UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,11,7,9
200701BS70020,07/26/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,1,7,4,7
200701BS70021,08/20/2023,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,22,1,8
200701BS70022,08/27/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,15,1,8
200701BS70023,09-11-2023 00:00,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,7,2,9
200701BS70024,08/21/2023,OTHER,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,2,6,2,8
200701BS70025,08/28/2023,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,13,2,8
200701BS70026,08/28/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",NOT APPLICABLE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,15,2,8
200701BS70028,09/15/2023,UNKNOWN,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,$500 OR LESS,IMPROPER OVERTAKING/PASSING,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,7,6,9
200701BS70029,09/15/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,2,15,6,9
200701BS70032,08/22/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,12,3,8
200701BS70034,08-08-2023 00:00,NO CONTROLS,CLEAR,DAYLIGHT,UNKNOWN,STRAIGHT AND LEVEL,$500 OR LESS,IMPROPER LANE USAGE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,10,3,8
200701BS70035,09/29/2023,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,4,19,6,9
200701BS70036,09-12-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ONE-WAY,STRAIGHT AND LEVEL,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,17,3,9
200701BS70037,08-10-2023 00:00,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",NOT APPLICABLE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,5,7,5,8
200701BS70038,09/24/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,3,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,1,19,1,9
200701BS70039,08/31/2023,TRAFFIC SIGNAL,CLEAR,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,18,5,8
200701BS70040,08/23/2023,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,15,4,8
200701BS70041,08-11-2023 00:00,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,5,9,6,8
200701BS70042,08-11-2023 00:00,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,3,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,9,6,8
200701BS70043,09/15/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,1,7,6,9
200701BS70044,09/15/2023,TRAFFIC SIGNAL,CLEAR,DAWN,ONE-WAY,STRAIGHT AND LEVEL,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,7,6,9
200701BS70045,09/19/2023,PEDESTRIAN CROSSING SIGN,RAIN,"DARKNESS, LIGHTED ROAD",ONE-WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,1,19,3,9
200701BS70046,09/16/2023,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,"REPORTED, NOT EVIDENT",Slight,1,0,0,0,1,15,7,9
200701BS70047,10-04-2023 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,$500 OR LESS,FOLLOWING TOO CLOSELY,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,9,4,10
200701BS70049,09-11-2023 00:00,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,18,2,9
200701BS70050,09/20/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,17,4,9
200701BS70051,08/13/2023,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,2,1,8
200701BS70052,08/14/2023,NO CONTROLS,RAIN,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,Urban,NONINCAPACITATING INJURY,Serious,1,0,0,1,1,16,2,8
200701BS70053,08/14/2023,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,3,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,3,21,2,8
200701BS70054,09/18/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,"REPORTED, NOT EVIDENT",Slight,1,0,0,0,6,8,2,9
200701BS70055,09/18/2023,OTHER WARNING SIGN,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER LANE USAGE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,9,2,9
200701BS70057,09/21/2023,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,5,15,5,9
200701BS70058,08/30/2023,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,INCAPACITATING INJURY,Slight,1,0,1,0,6,20,4,8
200701BS70059,09/22/2023,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,INCAPACITATING INJURY,Slight,5,0,5,0,0,22,6,9
200701BS70060,08/16/2023,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,9,4,8
200701BS70061,08/31/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,"REPORTED, NOT EVIDENT",Serious,1,0,0,0,1,6,5,8
200701BS70062,08/31/2023,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,7,5,8
200701BS70063,08/31/2023,NO CONTROLS,CLEAR,DAYLIGHT,ALLEY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER LANE USAGE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,15,5,8
200701BS70064,10-07-2023 00:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,12,7,10
200701BS70065,09/23/2023,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,15,7,9
200701BS70066,09/20/2018,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,2,9,5,9
200701BS70067,10-08-2023 00:00,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,Urban,NONINCAPACITATING INJURY,Slight,5,0,0,5,0,2,1,10
200701BS70068,09/25/2023,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,5,2,9
200701BS70069,09/27/2023,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,1,5,4,9
200701BS70070,10-11-2023 00:00,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",WEATHER,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,20,4,10
200701BS70071,09/27/2023,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,1,9,4,9
200701BS70072,09/30/2023,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,9,7,9
200701BS70073,10-12-2023 00:00,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NO INDICATION OF INJURY,Serious,0,0,0,0,3,20,5,10
200701BS70074,10/14/2023,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DUSK,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,17,7,10
200701BS70075,10/14/2023,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,"OVER $1,500",FOLLOWING TOO CLOSELY,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,9,7,10
200701BS70076,08/18/2019,TRAFFIC SIGNAL,CLEAR,DUSK,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,Urban,"REPORTED, NOT EVIDENT",Slight,1,0,0,0,2,19,1,8
200701BS70077,10/31/2021,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,3,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,5,2,1,10
200701BS70079,09/24/2022,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,STRAIGHT AND LEVEL,"OVER $1,500",FOLLOWING TOO CLOSELY,3,Urban,NONINCAPACITATING INJURY,Slight,2,0,0,2,2,22,7,9
200701BS70080,04-11-2020 00:00,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,2,21,7,4
200701BS70081,06-11-2019 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,"$501 - $1,500",UNABLE TO DETERMINE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,3,8,3,6
200701BS70082,11-08-2022 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,STRAIGHT AND LEVEL,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,Urban,NONINCAPACITATING INJURY,Slight,3,0,0,3,1,8,3,11
200701BS70083,12-06-2016 00:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,"OVER $1,500",NOT APPLICABLE,2,Urban,NO INDICATION OF INJURY,Slight,0,0,0,0,4,13,3,12
200701BS70084,03-02-2020 00:00,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,STRAIGHT AND LEVEL,"OVER $1,500",DISREGARDING STOP SIGN,2,Urban,NONINCAPACITATING INJURY,Slight,1,0,0,1,2,4,2,3
